,County,Year,Cases
0,ALAMEDA,2001,7
1,ALAMEDA,2002,2
2,ALAMEDA,2003,9
3,ALAMEDA,2004,12
4,ALAMEDA,2005,11
5,ALAMEDA,2006,30
6,ALAMEDA,2007,26
7,ALAMEDA,2008,27
8,ALAMEDA,2009,12
9,ALAMEDA,2010,20
10,ALAMEDA,2011,23
11,ALAMEDA,2012,21
12,ALAMEDA,2013,28
13,ALAMEDA,2014,24
14,ALAMEDA,2015,38
15,ALAMEDA,2016,48
16,ALAMEDA,2017,66
17,ALAMEDA,2018,75
18,ALAMEDA,2019,96
19,ALAMEDA,2020,67
20,ALAMEDA,2021,98
21,ALAMEDA,2022,76
66,AMADOR,2001,0
67,AMADOR,2002,0
68,AMADOR,2003,0
69,AMADOR,2004,2
70,AMADOR,2005,1
71,AMADOR,2006,4
72,AMADOR,2007,2
73,AMADOR,2008,3
74,AMADOR,2009,2
75,AMADOR,2010,2
76,AMADOR,2011,3
77,AMADOR,2012,1
78,AMADOR,2013,0
79,AMADOR,2014,0
80,AMADOR,2015,4
81,AMADOR,2016,0
82,AMADOR,2017,1
83,AMADOR,2018,7
84,AMADOR,2019,5
85,AMADOR,2020,7
86,AMADOR,2021,3
87,AMADOR,2022,5
88,BERKELEY,2001,1
89,BERKELEY,2002,0
90,BERKELEY,2003,0
91,BERKELEY,2004,0
92,BERKELEY,2005,0
93,BERKELEY,2006,1
94,BERKELEY,2007,0
95,BERKELEY,2008,0
96,BERKELEY,2009,1
97,BERKELEY,2010,1
98,BERKELEY,2011,2
99,BERKELEY,2012,2
100,BERKELEY,2013,1
101,BERKELEY,2014,0
102,BERKELEY,2015,1
103,BERKELEY,2016,0
104,BERKELEY,2017,0
105,BERKELEY,2018,1
106,BERKELEY,2019,1
107,BERKELEY,2020,1
108,BERKELEY,2021,1
109,BERKELEY,2022,3
110,BUTTE,2001,0
111,BUTTE,2002,0
112,BUTTE,2003,0
113,BUTTE,2004,3
114,BUTTE,2005,0
115,BUTTE,2006,1
116,BUTTE,2007,5
117,BUTTE,2008,0
118,BUTTE,2009,1
119,BUTTE,2010,2
120,BUTTE,2011,4
121,BUTTE,2012,4
122,BUTTE,2013,4
123,BUTTE,2014,1
124,BUTTE,2015,0
125,BUTTE,2016,3
126,BUTTE,2017,4
127,BUTTE,2018,1
128,BUTTE,2019,6
129,BUTTE,2020,11
130,BUTTE,2021,13
131,BUTTE,2022,2
132,CALAVERAS,2001,0
133,CALAVERAS,2002,0
134,CALAVERAS,2003,1
135,CALAVERAS,2004,0
136,CALAVERAS,2005,0
137,CALAVERAS,2006,0
138,CALAVERAS,2007,0
139,CALAVERAS,2008,0
140,CALAVERAS,2009,0
141,CALAVERAS,2010,0
142,CALAVERAS,2011,1
143,CALAVERAS,2012,2
144,CALAVERAS,2013,3
145,CALAVERAS,2014,1
146,CALAVERAS,2015,1
147,CALAVERAS,2016,1
148,CALAVERAS,2017,0
149,CALAVERAS,2018,1
150,CALAVERAS,2019,3
151,CALAVERAS,2020,8
152,CALAVERAS,2021,1
153,CALAVERAS,2022,2
176,COLUSA,2001,0
177,COLUSA,2002,0
178,COLUSA,2003,0
179,COLUSA,2004,3
180,COLUSA,2005,1
181,COLUSA,2006,3
182,COLUSA,2007,0
183,COLUSA,2008,0
184,COLUSA,2009,0
185,COLUSA,2010,0
186,COLUSA,2011,1
187,COLUSA,2012,0
188,COLUSA,2013,0
189,COLUSA,2014,0
190,COLUSA,2015,1
191,COLUSA,2016,1
192,COLUSA,2017,0
193,COLUSA,2018,2
194,COLUSA,2019,3
195,COLUSA,2020,1
196,COLUSA,2021,0
197,COLUSA,2022,1
198,CONTRA COSTA,2001,7
199,CONTRA COSTA,2002,7
200,CONTRA COSTA,2003,13
201,CONTRA COSTA,2004,19
202,CONTRA COSTA,2005,19
203,CONTRA COSTA,2006,29
204,CONTRA COSTA,2007,22
205,CONTRA COSTA,2008,10
206,CONTRA COSTA,2009,14
207,CONTRA COSTA,2010,16
208,CONTRA COSTA,2011,31
209,CONTRA COSTA,2012,29
210,CONTRA COSTA,2013,38
211,CONTRA COSTA,2014,30
212,CONTRA COSTA,2015,50
213,CONTRA COSTA,2016,67
214,CONTRA COSTA,2017,89
215,CONTRA COSTA,2018,109
216,CONTRA COSTA,2019,134
217,CONTRA COSTA,2020,145
218,CONTRA COSTA,2021,135
219,CONTRA COSTA,2022,87
242,EL DORADO,2001,1
243,EL DORADO,2002,0
244,EL DORADO,2003,2
245,EL DORADO,2004,2
246,EL DORADO,2005,1
247,EL DORADO,2006,2
248,EL DORADO,2007,0
249,EL DORADO,2008,3
250,EL DORADO,2009,0
251,EL DORADO,2010,0
252,EL DORADO,2011,0
253,EL DORADO,2012,1
254,EL DORADO,2013,1
255,EL DORADO,2014,2
256,EL DORADO,2015,1
257,EL DORADO,2016,2
258,EL DORADO,2017,5
259,EL DORADO,2018,2
260,EL DORADO,2019,5
261,EL DORADO,2020,3
262,EL DORADO,2021,3
263,EL DORADO,2022,6
264,FRESNO,2001,55
265,FRESNO,2002,73
266,FRESNO,2003,142
267,FRESNO,2004,130
268,FRESNO,2005,331
269,FRESNO,2006,665
270,FRESNO,2007,400
271,FRESNO,2008,323
272,FRESNO,2009,489
273,FRESNO,2010,724
274,FRESNO,2011,735
275,FRESNO,2012,483
276,FRESNO,2013,314
277,FRESNO,2014,163
278,FRESNO,2015,280
279,FRESNO,2016,614
280,FRESNO,2017,834
281,FRESNO,2018,644
282,FRESNO,2019,625
283,FRESNO,2020,449
284,FRESNO,2021,410
285,FRESNO,2022,448
308,HUMBOLDT,2001,0
309,HUMBOLDT,2002,0
310,HUMBOLDT,2003,1
311,HUMBOLDT,2004,0
312,HUMBOLDT,2005,0
