County,Year,Cases,Rate
ALAMEDA,2001,7,0.5
ALAMEDA,2002,2,0.1
ALAMEDA,2003,9,0.7
ALAMEDA,2004,12,0.9
ALAMEDA,2005,11,0.8
ALAMEDA,2006,30,2.2
ALAMEDA,2007,26,1.9
ALAMEDA,2008,27,2.0
ALAMEDA,2009,12,0.9
ALAMEDA,2010,20,1.4
ALAMEDA,2011,23,1.6
ALAMEDA,2012,21,1.5
ALAMEDA,2013,28,1.9
ALAMEDA,2014,24,1.6
ALAMEDA,2015,38,2.5
ALAMEDA,2016,48,3.2
ALAMEDA,2017,66,4.3
ALAMEDA,2018,75,4.9
ALAMEDA,2019,96,6.2
ALAMEDA,2020,67,4.3
ALAMEDA,2021,98,6.4
ALAMEDA,2022,76,5.0
ALAMEDA COUNTY TOTAL,2001,8,0.5
ALAMEDA COUNTY TOTAL,2002,2,0.1
ALAMEDA COUNTY TOTAL,2003,9,0.6
ALAMEDA COUNTY TOTAL,2004,12,0.8
ALAMEDA COUNTY TOTAL,2005,11,0.8
ALAMEDA COUNTY TOTAL,2006,31,2.1
ALAMEDA COUNTY TOTAL,2007,26,1.8
ALAMEDA COUNTY TOTAL,2008,27,1.8
ALAMEDA COUNTY TOTAL,2009,13,0.9
ALAMEDA COUNTY TOTAL,2010,21,1.4
ALAMEDA COUNTY TOTAL,2011,25,1.6
ALAMEDA COUNTY TOTAL,2012,23,1.5
ALAMEDA COUNTY TOTAL,2013,29,1.8
ALAMEDA COUNTY TOTAL,2014,24,1.5
ALAMEDA COUNTY TOTAL,2015,39,2.4
ALAMEDA COUNTY TOTAL,2016,48,2.9
ALAMEDA COUNTY TOTAL,2017,66,4.0
ALAMEDA COUNTY TOTAL,2018,76,4.6
ALAMEDA COUNTY TOTAL,2019,97,5.8
ALAMEDA COUNTY TOTAL,2020,68,4.1
ALAMEDA COUNTY TOTAL,2021,99,6.0
ALAMEDA COUNTY TOTAL,2022,79,4.8
ALPINE,2001,0,
ALPINE,2002,0,
ALPINE,2003,0,
ALPINE,2004,0,
ALPINE,2005,0,
ALPINE,2006,0,
ALPINE,2007,0,
ALPINE,2008,0,
ALPINE,2009,0,
ALPINE,2010,0,
ALPINE,2011,0,
ALPINE,2012,0,
ALPINE,2013,0,
ALPINE,2014,0,
ALPINE,2015,0,
ALPINE,2016,0,
ALPINE,2017,0,
ALPINE,2018,0,
ALPINE,2019,0,
ALPINE,2020,0,
ALPINE,2021,0,
ALPINE,2022,0,
AMADOR,2001,0,
AMADOR,2002,0,
AMADOR,2003,0,
AMADOR,2004,2,5.4
AMADOR,2005,1,2.7
AMADOR,2006,4,10.5
AMADOR,2007,2,5.3
AMADOR,2008,3,7.9
AMADOR,2009,2,5.3
AMADOR,2010,2,5.3
AMADOR,2011,3,8.1
AMADOR,2012,1,2.7
AMADOR,2013,0,
AMADOR,2014,0,
AMADOR,2015,4,10.8
AMADOR,2016,0,
AMADOR,2017,1,2.6
AMADOR,2018,7,17.5
AMADOR,2019,5,12.4
AMADOR,2020,7,17.3
AMADOR,2021,3,7.5
AMADOR,2022,5,12.5
BERKELEY,2001,1,1.0
BERKELEY,2002,0,
BERKELEY,2003,0,
BERKELEY,2004,0,
BERKELEY,2005,0,
BERKELEY,2006,1,0.9
BERKELEY,2007,0,
BERKELEY,2008,0,
BERKELEY,2009,1,0.9
BERKELEY,2010,1,0.9
BERKELEY,2011,2,1.7
BERKELEY,2012,2,1.7
BERKELEY,2013,1,0.9
BERKELEY,2014,0,
BERKELEY,2015,1,0.8
BERKELEY,2016,0,
BERKELEY,2017,0,
BERKELEY,2018,1,0.8
BERKELEY,2019,1,0.8
BERKELEY,2020,1,0.8
BERKELEY,2021,1,0.8
BERKELEY,2022,3,2.4
BUTTE,2001,0,
BUTTE,2002,0,
BUTTE,2003,0,
BUTTE,2004,3,1.4
BUTTE,2005,0,
BUTTE,2006,1,0.5
BUTTE,2007,5,2.3
BUTTE,2008,0,
BUTTE,2009,1,0.5
BUTTE,2010,2,0.9
BUTTE,2011,4,1.8
BUTTE,2012,4,1.8
BUTTE,2013,4,1.8
BUTTE,2014,1,0.4
BUTTE,2015,0,
BUTTE,2016,3,1.3
BUTTE,2017,4,1.7
BUTTE,2018,1,0.4
BUTTE,2019,6,2.6
BUTTE,2020,11,5.2
BUTTE,2021,13,6.3
BUTTE,2022,2,1.0
CALAVERAS,2001,0,
CALAVERAS,2002,0,
CALAVERAS,2003,1,2.3
CALAVERAS,2004,0,
CALAVERAS,2005,0,
CALAVERAS,2006,0,
CALAVERAS,2007,0,
CALAVERAS,2008,0,
CALAVERAS,2009,0,
CALAVERAS,2010,0,
CALAVERAS,2011,1,2.2
CALAVERAS,2012,2,4.4
CALAVERAS,2013,3,6.6
CALAVERAS,2014,1,2.2
CALAVERAS,2015,1,2.2
CALAVERAS,2016,1,2.2
CALAVERAS,2017,0,
CALAVERAS,2018,1,2.2
CALAVERAS,2019,3,6.6
CALAVERAS,2020,8,17.7
CALAVERAS,2021,1,2.2
CALAVERAS,2022,2,4.5
CALIFORNIA TOTAL,2001,1491,4.3
CALIFORNIA TOTAL,2002,1612,4.6
CALIFORNIA TOTAL,2003,2038,5.8
CALIFORNIA TOTAL,2004,2538,7.1
CALIFORNIA TOTAL,2005,2838,7.9
CALIFORNIA TOTAL,2006,3036,8.4
CALIFORNIA TOTAL,2007,2947,8.1
CALIFORNIA TOTAL,2008,2390,6.5
CALIFORNIA TOTAL,2009,2398,6.5
CALIFORNIA TOTAL,2010,4441,11.9
CALIFORNIA TOTAL,2011,5234,13.9
CALIFORNIA TOTAL,2012,4126,10.8
CALIFORNIA TOTAL,2013,3329,8.7
CALIFORNIA TOTAL,2014,2334,6.0
CALIFORNIA TOTAL,2015,3184,8.2
CALIFORNIA TOTAL,2016,5574,14.2
CALIFORNIA TOTAL,2017,7713,19.6
CALIFORNIA TOTAL,2018,7641,19.4
CALIFORNIA TOTAL,2019,9095,23.0
CALIFORNIA TOTAL,2020,7267,18.4
CALIFORNIA TOTAL,2021,8047,20.5
CALIFORNIA TOTAL,2022,7451,19.1
COLUSA,2001,0,
COLUSA,2002,0,
COLUSA,2003,0,
COLUSA,2004,3,14.9
COLUSA,2005,1,4.9
COLUSA,2006,3,14.4
COLUSA,2007,0,
COLUSA,2008,0,
COLUSA,2009,0,
COLUSA,2010,0,
COLUSA,2011,1,4.7
COLUSA,2012,0,
COLUSA,2013,0,
COLUSA,2014,0,
COLUSA,2015,1,4.7
COLUSA,2016,1,4.6
COLUSA,2017,0,
COLUSA,2018,2,9.2
COLUSA,2019,3,13.8
COLUSA,2020,1,4.6
COLUSA,2021,0,
COLUSA,2022,1,4.6
CONTRA COSTA,2001,7,0.7
CONTRA COSTA,2002,7,0.7
CONTRA COSTA,2003,13,1.3
CONTRA COSTA,2004,19,1.9
CONTRA COSTA,2005,19,1.9
CONTRA COSTA,2006,29,2.9
CONTRA COSTA,2007,22,2.2
CONTRA COSTA,2008,10,1.0
CONTRA COSTA,2009,14,1.3
CONTRA COSTA,2010,16,1.5
CONTRA COSTA,2011,31,2.9
CONTRA COSTA,2012,29,2.7
CONTRA COSTA,2013,38,3.5
CONTRA COSTA,2014,30,2.7
CONTRA COSTA,2015,50,4.4
CONTRA COSTA,2016,67,5.9
CONTRA COSTA,2017,89,7.7
CONTRA COSTA,2018,109,9.4
CONTRA COSTA,2019,134,11.5
CONTRA COSTA,2020,145,12.4
CONTRA COSTA,2021,135,11.6
CONTRA COSTA,2022,87,7.6
DEL NORTE,2001,0,
DEL NORTE,2002,0,
DEL NORTE,2003,0,
DEL NORTE,2004,0,
DEL NORTE,2005,0,
DEL NORTE,2006,0,
DEL NORTE,2007,0,
DEL NORTE,2008,0,
DEL NORTE,2009,0,
DEL NORTE,2010,0,
DEL NORTE,2011,0,
DEL NORTE,2012,0,
DEL NORTE,2013,0,
DEL NORTE,2014,0,
DEL NORTE,2015,0,
DEL NORTE,2016,1,3.7
DEL NORTE,2017,1,3.7
DEL NORTE,2018,0,
DEL NORTE,2019,0,
DEL NORTE,2020,0,
DEL NORTE,2021,0,
DEL NORTE,2022,0,
EL DORADO,2001,1,0.6
EL DORADO,2002,0,
EL DORADO,2003,2,1.2
EL DORADO,2004,2,1.2
EL DORADO,2005,1,0.6
EL DORADO,2006,2,1.1
EL DORADO,2007,0,
EL DORADO,2008,3,1.7
EL DORADO,2009,0,
EL DORADO,2010,0,
EL DORADO,2011,0,
EL DORADO,2012,1,0.6
EL DORADO,2013,1,0.5
EL DORADO,2014,2,1.1
EL DORADO,2015,1,0.5
EL DORADO,2016,2,1.1
EL DORADO,2017,5,2.7
EL DORADO,2018,2,1.1
EL DORADO,2019,5,2.7
EL DORADO,2020,3,1.6
EL DORADO,2021,3,1.6
EL DORADO,2022,6,3.2
FRESNO,2001,55,6.7
FRESNO,2002,73,8.8
FRESNO,2003,142,16.8
FRESNO,2004,130,15.1
FRESNO,2005,331,38.0
FRESNO,2006,665,75.0
FRESNO,2007,400,44.5
FRESNO,2008,323,35.4
